"State","OB_S_percent(M)_2009","OB_S_percent(M)_2010","OB_S_percent(M)_2011","OB_S_percent(M)_2012","OB_S_percent(F)_2009","OB_S_percent(F)_2010","OB_S_percent(F)_2011","OB_S_percent(F)_2012","AC_S_percent(M)_2009","AC_S_percent(M)_2010","AC_S_percent(M)_2011","AC_S_percent(M)_2012","AC_S_percent(F)_2009","AC_S_percent(F)_2010","AC_S_percent(F)_2011","AC_S_percent(F)_2012"
"North Dakota",30.5867924528302,31.5150943396226,29.8264150943396,30.8603773584906,27.9132075471698,28.5735849056604,28.2433962264151,28.5433962264151,30.5867924528302,31.5150943396226,29.8264150943396,30.8603773584906,29.8094339622642,29.2339622641509,27.8377358490566,28.1075471698113
"Ohio",26.6647727272727,27.0988636363636,26.7261363636364,27.3954545454545,30.3034090909091,29.9113636363636,30.5034090909091,31.1409090909091,26.6647727272727,27.0988636363636,26.7261363636364,27.3954545454545,30.9431818181818,30.6363636363636,30.0534090909091,30.0431818181818
"Oklahoma",32.0805194805195,32.8636363636364,32.1168831168831,32.4428571428571,31.7779220779221,32.7493506493506,33.0831168831169,33.3181818181818,32.0805194805195,32.8636363636364,32.1168831168831,32.4428571428571,35.174025974026,34.6805194805195,33.7662337662338,34.0558441558442
"Oregon",18.825,19.2333333333333,18.0555555555556,18.5388888888889,26.3333333333333,26.9305555555556,27.6055555555556,27.3027777777778,18.825,19.2333333333333,18.0555555555556,18.5388888888889,20.6722222222222,19.7888888888889,18.55,18.1083333333333
"Pennsylvania",24.8223880597015,24.5686567164179,23.5358208955224,23.810447761194,29.0537313432836,29.5492537313433,29.9925373134328,30.1298507462687,24.8223880597015,24.5686567164179,23.5358208955224,23.810447761194,29.5925373134328,29.1835820895522,27.4388059701493,27.2835820895522
"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhode Island",20.06,21.08,19.98,20.54,21.74,21.96,21.68,22.28,20.06,21.08,19.98,20.54,24.42,24.42,23.26,23.14
"South Carolina",26.0326086956522,26.1304347826087,25.2586956521739,25.3521739130435,35.8608695652174,36.2,36.7630434782609,36.7195652173913,26.0326086956522,26.1304347826087,25.2586956521739,25.3521739130435,34.3847826086957,32.504347826087,31.3195652173913,30.7891304347826
"South Dakota",30.9181818181818,30.969696969697,29.0136363636364,28.1651515151515,30.0666666666667,30.2848484848485,30.1530303030303,30.4151515151515,30.9181818181818,30.969696969697,29.0136363636364,28.1651515151515,29.2590909090909,28.7015151515152,26.6121212121212,25.3378787878788
"Tennessee",30.2473684210526,31.8842105263158,31.1873684210526,33.4673684210526,32.6084210526316,32.6252631578947,32.2505263157895,32.6115789473684,30.2473684210526,31.8842105263158,31.1873684210526,33.4673684210526,34.3526315789474,36.2547368421053,35.5347368421053,37.7978947368421
"Texas",26.3157480314961,26.5177165354331,25.4874015748032,26.1625984251969,27.5641732283465,27.9933070866142,28.3409448818898,29.0055118110236,26.3157480314961,26.5177165354331,25.4874015748032,26.1625984251969,30.6484251968504,29.9145669291339,29.1826771653543,29.9035433070866
"Utah",20.1793103448276,20.2551724137931,19.0172413793103,20.0965517241379,23.7689655172414,23.8,23.5103448275862,24.0413793103448,20.1793103448276,20.2551724137931,19.0172413793103,20.0965517241379,22.0793103448276,22.0310344827586,20.7827586206897,21.8275862068966
"Vermont",19.8857142857143,20.75,19.7071428571429,20.8428571428571,24.4,24.75,24.75,24.3714285714286,19.8857142857143,20.75,19.7071428571429,20.8428571428571,21.2285714285714,20.4857142857143,19.7,19.9428571428571
"Virginia",24.2805970149254,24.4283582089552,22.9440298507463,23.3865671641791,29.4835820895522,29.7559701492537,29.4253731343284,28.9791044776119,24.2805970149254,24.4283582089552,22.9440298507463,23.3865671641791,28.6537313432836,28.0171641791045,27.5671641791045,27.4940298507463
"Washington",20.1666666666667,20.9589743589744,19.9897435897436,20.4153846153846,28.3435897435897,28.7820512820513,28.6410256410256,28.9564102564103,20.1666666666667,20.9589743589744,19.9897435897436,20.4153846153846,21.0923076923077,21.2794871794872,21.0666666666667,21.6641025641026
"West Virginia",31.0563636363636,32.8745454545455,31.3581818181818,30.7054545454545,33.0145454545455,33.8472727272727,34.0327272727273,34.8618181818182,31.0563636363636,32.8745454545455,31.3581818181818,30.7054545454545,35.68,37.1563636363636,36.2636363636364,35.9781818181818
"Wisconsin",22.7458333333333,22.8333333333333,22.1138888888889,23.4416666666667,28.0083333333333,28.0916666666667,28.1277777777778,29.0986111111111,22.7458333333333,22.8333333333333,22.1138888888889,23.4416666666667,24.0472222222222,23.2388888888889,22.0861111111111,22.9972222222222
"Wyoming",24.1521739130435,25.3304347826087,24.2434782608696,24.2695652173913,24.1739130434783,24.1695652173913,24.6086956521739,25.1,24.1521739130435,25.3304347826087,24.2434782608696,24.2695652173913,24.6173913043478,24.1260869565217,23.6,23.3782608695652
